"trans_date_trans_time","cc_num","merchant","category","amt","first","last","street","city","state","zip","lat","long","city_pop","job","dob","trans_num","unix_time","merch_lat","merch_long","is_fraud"
"2019-02-27 03:18:34",3562679455732797,"""fraud_Graham, Hegmann and Hammes""","food_dining",35,"Amanda","Jones","7320 Jennifer Forges","Queenstown","MD",21658,39.0026,-76.1424,3862,"Maintenance engineer","1962-12-06","30935b60a9be1f672d26010e62937d69",1330312714,38.955526,-76.69264,0
"2019-08-05 22:14:33",3575789281659026,"fraud_Kassulke PLC","shopping_net",6.59,"Lindsay","Wilson","7618 Gonzales Mission","Centerview","MO",64019,38.7897,-93.8702,2368,"Electronics engineer","1989-07-17","a521beb7e5b8ac5df4d85d385e2dc665",1344204873,38.503613,-93.998752,0
"2020-02-10 09:32:39",4294930380592,"fraud_Stracke-Lemke","grocery_pos",144.96,"Misty","Rivera","1980 Vasquez Manors Apt. 574","Catawba","VA",24070,37.3696,-80.1284,1363,"Equality and diversity officer","1940-08-23","f6c12c2f7a869a7ae91bd71925463496",1360488759,36.48776,-80.613435,0
"2019-05-01 17:58:57",213148039875802,"fraud_Dooley Inc","shopping_pos",40.39,"Jill","Jacobs","034 Kimberly Mountains","Brandon","FL",33510,27.9551,-82.2966,79613,"Environmental consultant","1978-11-30","7c46c68c414929a4a71e5c85846912e0",1335895137,28.560941,-81.570976,0
"2020-05-19 22:01:33",30074693890476,"fraud_Gerhold LLC","home",58.26,"Kelsey","Richards","889 Sarah Station Suite 624","Holcomb","KS",67851,37.9931,-100.9893,2691,"Arboriculturist","1993-08-16","92f7ee41c4ab289f4e12147206179692",1369000893,37.846821,-101.439485,0
"2020-01-26 04:13:54",4839043708100390,"fraud_Rodriguez Group","gas_transport",43.05,"Meredith","Campbell","043 Hanson Turnpike","Hedrick","IA",52563,41.1826,-92.3097,1583,"Geochemist","1999-06-28","614dd9998af1945eeacbf39be96a9c83",1359173634,40.404314,-91.641227,0
"2020-02-11 03:15:27",4640395708703,"""fraud_Romaguera, Cruickshank and Greenholt""","shopping_net",20.83,"Melissa","Krause","67632 Martin Gateway","Fordoche","LA",70732,30.6576,-91.6264,1178,"Community education officer","1951-06-13","42b7caa5b085f95fc240a526f70917f4",1360552527,30.626039,-92.353296,0
"2019-12-10 00:38:29",6011399591920186,"fraud_Kuhic Inc","grocery_pos",90.67,"Maria","Roy","58665 Nicholas Ford Suite 348","Sheffield","MA",1257,42.1001,-73.3611,2121,"Radio producer","1973-10-14","e4c2e9759df89050381bff80eb723293",1355099909,42.687457,-73.009991,0
"2020-01-16 12:49:37",60416207185,"fraud_Terry-Huel","shopping_net",1789.68,"Mary","Diaz","9886 Anita Drive","Fort Washakie","WY",82514,43.0048,-108.8964,1645,"Information systems manager","1986-02-17","8eaccdf0028518f22815808d07b49431",1358340577,42.832888,-109.248784,0
"2019-12-23 12:08:50",6506116513503136,"fraud_Wilkinson LLC","personal_care",32.78,"Kimberly","Rice","63991 Destiny Rue Apt. 651","Tyler","TX",75703,32.2768,-95.3031,144160,"Sports development officer","1984-05-04","33e4ad49c6e84b2b91926d092df8b484",1356264530,32.642809,-95.10887,0
"2019-10-24 18:05:16",3576021480694169,"fraud_Mante Group","misc_net",7.58,"Dawn","Gray","9486 Joel Common Suite 554","Topeka","KS",66618,39.1329,-95.7023,163415,"Secondary school teacher","2004-12-30","2e70779b4f63bedab83e0654415440c6",1351101916,38.610728,-95.894516,0
"2019-06-29 06:47:12",639095706599,"""fraud_Stroman, Hudson and Erdman""","gas_transport",71.46,"Kyle","Wilkinson","93970 Trujillo Causeway","Curlew","IA",50527,42.9633,-94.7975,223,"Estate manager/land agent","1939-04-14","c011ede12a66effac0df37402767798b",1340952432,42.427192,-95.087487,0
"2020-03-13 04:36:15",581686439828,"fraud_Prohaska-Murray","gas_transport",66.06,"Larry","House","911 Sabrina Trafficway","Cochranton","PA",16314,41.5205,-80.0573,5507,"Retail merchandiser","1973-07-28","6308710f23d39055da9b70b345ce19fc",1363149375,42.435838,-79.092583,0
"2019-09-01 03:35:22",3508104404056005,"fraud_Paucek-Wiza","grocery_net",31.05,"Michael","Fisher","401 Escobar Port","East Troy","WI",53120,42.8035,-88.4092,9679,"""Engineer, production""","1991-04-11","baf06c2d8412e8965eb6e6c242e9e3c1",1346470522,42.082798,-88.390434,0
